Time,X,Y,Z
2024-02-21_143334,0.0004830574,0.0004298573,0.0004574875
2024-02-21_143334,0.0003614551,0.0005338812,0.0002009360
2024-02-21_143334,0.0002499616,0.0000500425,0.0002853261
2024-02-21_143334,0.0002170875,0.0002227490,0.0005747715
2024-02-21_143334,0.0002582268,0.0004144026,0.0000376129
2024-02-21_143334,0.0001956215,0.0004597104,0.0002867902
2024-02-21_143334,0.0001254754,0.0004860960,0.0002480342
2024-02-21_143334,0.0002776240,0.0004849914,0.0006218193
2024-02-21_143334,0.0001863237,0.0004357637,0.0008178337
2024-02-21_143334,0.0001881077,0.0001860375,0.0004897375
2024-02-21_143334,0.0002073307,0.0000717986,0.0001168044
2024-02-21_143334,0.0001336864,0.0002503715,0.0006478363
2024-02-21_143334,0.0001920999,0.0003051056,0.0002219237
2024-02-21_143334,0.0000350328,0.0003980885,0.0002495681
2024-02-21_143334,0.0002279148,0.0002243634,0.0002156628
2024-02-21_143334,0.0001788898,0.0007253300,0.0005104876
2024-02-21_143334,0.0003033663,0.0003456910,0.0002728646
2024-02-21_143334,0.0003426311,0.0005065945,0.0007898839
2024-02-21_143334,0.0000605396,0.0004061898,0.0003909874
2024-02-21_143334,0.0003385480,0.0005124488,0.0004811352
2024-02-21_143334,0.0002030160,0.0002803186,0.0004500554
2024-02-21_143334,0.0002410023,0.0003219744,0.0003045843
2024-02-21_143334,0.0001493615,0.0005023000,0.0007601710
2024-02-21_143334,0.0001861893,0.0005123141,0.0003099551
2024-02-21_143334,0.0004919929,0.0001780244,0.0001379161
2024-02-21_143334,0.0002521159,0.0003975568,0.0005096133
2024-02-21_143334,0.0002329183,0.0004002297,0.0002975895
2024-02-21_143334,0.0001749996,0.0002560676,0.0005663155
2024-02-21_143334,0.0001933884,0.0006825798,0.0004516502
2024-02-21_143334,0.0002570170,0.0004608972,0.0001650010
2024-02-21_143334,0.0002547738,0.0007656656,0.0006817832
2024-02-21_143334,0.0002037456,0.0003867521,0.0002686304
2024-02-21_143334,0.0002711617,0.0002190946,0.0002036791
2024-02-21_143334,0.0001306216,0.0005103252,0.0004979482
2024-02-21_143334,0.0000854406,0.0002436486,0.0004282524
2024-02-21_143334,0.0003257944,0.0002530814,0.0008002328
2024-02-21_143334,0.0000913662,0.0000527065,0.0004802333
2024-02-21_143334,0.0000839794,0.0004407071,0.0002950409
2024-02-21_143334,0.0005084070,0.0006463465,0.0006787871
2024-02-21_143334,0.0002182406,0.0002971916,0.0003879076
2024-02-21_143334,0.0000816191,0.0001786809,0.0003507566
2024-02-21_143334,0.0001351378,0.0002451663,0.0003939968
2024-02-21_143334,0.0001513861,0.0004750777,0.0002503945
2024-02-21_143334,0.0001618553,0.0000499766,0.0005788428
2024-02-21_143334,0.0002608797,0.0003711310,0.0006923530
2024-02-21_143334,0.0002675595,0.0000912874,0.0002570061
2024-02-21_143334,0.0001312576,0.0002742885,0.0002911091
2024-02-21_143334,0.0000341286,0.0003473603,0.0004329830
2024-02-21_143334,0.0000180007,0.0003100085,0.0005000195
2024-02-21_143334,0.0000716435,0.0000644899,0.0006716360
2024-02-21_143334,0.0002232225,0.0003760218,0.0007744025
2024-02-21_143334,0.0003198174,0.0002086605,0.0006983170
2024-02-21_143334,0.0001633409,0.0004412334,0.0000715815
2024-02-21_143334,0.0000498621,0.0001572619,0.0008720350
2024-02-21_143334,0.0004260597,0.0002065416,0.0006321082
2024-02-21_143334,0.0003640304,0.0005629479,0.0005882831
2024-02-21_143334,0.0001416159,0.0005704343,0.0001326736
2024-02-21_143334,0.0001026396,0.0001207107,0.0000860721
2024-02-21_143334,0.0002362168,0.0004906520,0.0002761461
2024-02-21_143334,0.0002199804,0.0001622853,0.0004797520
2024-02-21_143334,0.0000601201,0.0003572875,0.0008237704
