record,created_at
80.3*2*64.4,2025-03-13 16:33:00
80.1*2*65.1,2025-03-13 18:00:36
79.7*2*72.1,2025-03-13 19:32:09
79.8*2*75.8,2025-03-14 00:00:38
80.3*2*84.2,2025-03-14 06:00:36
80.7*2*90.9,2025-03-14 07:32:32
80.0*2*92.4,2025-03-14 12:00:56
80.1*2*61.7,2025-03-14 18:00:54
79.1*2*63.3,2025-03-14 19:32:15
79.3*2*71.4,2025-03-15 00:00:38
80.2*2*80.7,2025-03-15 06:00:36
80.0*2*81.6,2025-03-15 07:32:35
79.6*2*81.2,2025-03-15 12:00:54
79.0*2*68.0,2025-03-15 18:00:55
79.1*2*74.3,2025-03-15 19:32:14
79.3*2*75.8,2025-03-16 00:00:37
80.1*2*82.7,2025-03-16 06:00:36
80.9*2*99.9,2025-03-16 07:32:30
80.8*2*99.9,2025-03-16 12:00:54
81.0*2*99.9,2025-03-16 18:01:02
80.9*2*76.8,2025-03-16 19:32:16
81.4*2*81.5,2025-03-17 00:00:36
82.0*2*89.1,2025-03-17 06:00:36
82.8*2*93.7,2025-03-17 12:01:04
82.3*2*72.5,2025-03-17 18:01:00
81.3*2*75.1,2025-03-17 19:32:15
81.0*2*79.6,2025-03-18 00:00:37
81.8*2*88.4,2025-03-18 06:00:37
82.4*2*94.5,2025-03-18 07:32:32
82.0*2*89.0,2025-03-18 19:46:29
81.8*2*89.0,2025-03-19 00:00:54
81.8*2*90.8,2025-03-19 06:01:02
81.3*2*90.4,2025-03-19 07:33:03
81.5*2*74.3,2025-03-19 12:07:27
81.3*2*75.6,2025-03-19 18:00:54
81.3*2*83.1,2025-03-19 19:32:15
82.2*2*89.8,2025-03-19 21:28:16
82.1*2*90.9,2025-03-20 00:00:36
82.4*2*99.9,2025-03-20 06:00:36
82.7*2*99.9,2025-03-20 07:33:05
83.2*2*66.9,2025-03-20 13:53:18
83.0*2*65.1,2025-03-20 18:00:54
82.3*2*69.4,2025-03-20 19:32:15
82.4*2*80.1,2025-03-21 00:00:38
83.3*2*89.5,2025-03-21 06:00:36
83.3*2*96.0,2025-03-21 07:33:03
83.2*2*92.5,2025-03-21 12:00:57
83.0*2*67.3,2025-03-21 18:00:54
2*2*69.5,2025-03-21 19:32:15
82.4*2*76.3,2025-03-22 00:00:38
82.7*2*88.6,2025-03-22 06:00:36
82.6*2*92.5,2025-03-22 07:32:35
82.3*2*91.4,2025-03-22 12:01:01
82.3*2*72.4,2025-03-22 18:00:53
82.1*2*71.5,2025-03-22 18:28:40
82.1*2*71.6,2025-03-22 19:32:14
82.2*2*78.5,2025-03-23 00:00:38
82.3*2*87.8,2025-03-23 06:00:36
82.6*2*88.8,2025-03-23 07:32:34
82.2*2*99.9,2025-03-23 12:00:55
82.7*2*77.5,2025-03-23 18:00:53
82.5*2*83.2,2025-03-23 19:32:15
82.7*2*89.0,2025-03-24 00:00:35
84.0*2*71.2,2025-03-25 16:52:39
83.9*2*69.9,2025-03-25 16:56:13
83.8*2*69.8,2025-03-25 18:00:36
83.3*2*79.9,2025-03-25 19:20:51
83.4*2*80.2,2025-03-25 19:32:09
83.4*2*82.1,2025-03-25 19:51:09
83.3*2*84.8,2025-03-25 20:40:28
83.4*2*85.9,2025-03-25 21:23:51
83.4*2*86.1,2025-03-26 00:00:36
83.1*2*2,2025-03-26 05:41:44
83.1*2*97.1,2025-03-26 06:00:37
83.2*2*99.9,2025-03-26 07:32:34
82.9*2*99.9,2025-03-26 12:01:02
83.6*2*68.8,2025-03-26 17:55:16
83.5*2*68.9,2025-03-26 18:01:00
83.5*2*70.3,2025-03-26 19:32:15
83.3*2*76.6,2025-03-27 00:00:36
83.5*2*86.2,2025-03-27 06:00:37
83.8*2*94.7,2025-03-27 07:32:57
83.9*2*97.7,2025-03-27 12:00:59
83.8*2*92.5,2025-03-27 18:00:55
83.6*2*74.3,2025-03-27 18:35:14
83.3*2*73.9,2025-03-27 18:51:07
83.6*2*73.8,2025-03-27 19:32:16
83.0*2*92.8,2025-03-28 21:47:25
82.8*2*92.5,2025-03-29 00:00:37
82.9*2*91.1,2025-03-29 06:00:36
82.5*2*95.2,2025-03-29 07:32:38
82.3*2*94.8,2025-03-29 12:00:58
82.8*2*72.6,2025-03-29 18:00:53
83.0*2*74.0,2025-03-29 19:32:26
82.7*2*85.2,2025-03-29 21:18:22
82.7*2*85.2,2025-03-29 21:25:31
82.6*2*85.6,2025-03-29 21:40:09
82.6*2*86.0,2025-03-29 21:44:02
82.6*2*88.5,2025-03-29 22:10:55
82.6*2*89.5,2025-03-29 22:40:59
82.6*2*89.5,2025-03-29 22:51:20
82.5*2*89.4,2025-03-29 22:56:44
82.6*2*89.5,2025-03-29 22:59:25
82.5*2*89.4,2025-03-29 23:05:28
82.7*2*89.4,2025-03-29 23:09:52
82.5*2*89.5,2025-03-30 00:00:36
82.7*2*90.4,2025-03-30 00:32:20
82.6*2*90.4,2025-03-30 00:42:51
82.7*2*90.6,2025-03-30 00:48:10
82.6*2*90.5,2025-03-30 00:56:35
82.6*2*90.7,2025-03-30 01:03:47
82.6*2*91.1,2025-03-30 01:10:38
82.5*2*90.9,2025-03-30 01:19:18
82.5*2*91.1,2025-03-30 01:39:39
82.5*2*91.1,2025-03-30 01:49:39
82.4*2*92.6,2025-03-30 03:54:05
82.4*2*92.7,2025-03-30 04:09:04
82.5*2*92.6,2025-03-30 06:00:36
82.6*2*92.5,2025-03-30 07:32:41
83.6*2*72.6,2025-03-30 10:27:18
83.6*2*73.1,2025-03-30 10:41:20
83.6*2*68.7,2025-03-30 10:51:11
83.7*2*68.7,2025-03-30 10:57:45
83.7*2*69.7,2025-03-30 11:09:38
83.7*2*69.7,2025-03-30 11:15:04
83.6*2*69.8,2025-03-30 11:25:59
84.0*2*69.6,2025-03-30 11:44:25
83.9*2*70.1,2025-03-30 11:57:11
84.0*2*76.0,2025-03-30 12:09:46
84.0*2*76.7,2025-03-30 12:17:27
83.9*2*78.6,2025-03-30 12:28:11
84.0*2*77.1,2025-03-30 12:44:24
83.6*2*79.5,2025-03-30 12:53:14
83.7*2*85.7,2025-03-30 13:42:21
83.7*2*85.8,2025-03-30 13:49:19
83.6*2*86.1,2025-03-30 13:55:07
83.8*2*86.4,2025-03-30 14:05:59
83.7*2*86.3,2025-03-30 14:15:52
83.6*2*86.4,2025-03-30 14:19:17
83.8*2*86.6,2025-03-30 14:28:05
83.7*2*86.7,2025-03-30 18:00:55
83.8*2*77.9,2025-03-30 19:32:18
