record,created_at
31.5*2*23.7,3/25/2025 21:23
31.4*2*23.8,3/26/2025 0:00
29.5*2*2,3/26/2025 5:41
29.5*2*21.4,3/26/2025 6:00
29.3*2*18.5,3/26/2025 7:32
27.7*2*17.9,3/26/2025 12:01
32.1*2*26.2,3/26/2025 17:55
32.1*2*26.2,3/26/2025 18:01
32.1*2*26.2,3/26/2025 19:32
31.8*2*24.1,3/27/2025 0:00
30.1*2*22.3,3/27/2025 6:00
28.9*2*21.1,3/27/2025 7:32
30.1*2*20.5,3/27/2025 12:00
28.0*2*23.2,3/27/2025 18:00
32.2*2*24.8,3/27/2025 18:35
31.7*2*24.3,3/27/2025 18:51
31.9*2*24.3,3/27/2025 19:32
29.4*2*20.7,3/28/2025 21:47
29.5*2*20.8,3/29/2025 0:00
29.6*2*21.3,3/29/2025 6:00
27.3*2*19.0,3/29/2025 7:32
28.2*2*19.4,3/29/2025 12:00
30.4*2*27.0,3/29/2025 18:00
34.2*2*26.4,3/29/2025 19:32
31.7*2*23.2,3/29/2025 21:18
31.7*2*23.1,3/29/2025 21:25
31.5*2*23.1,3/29/2025 21:40
31.4*2*23.0,3/29/2025 21:44
31.0*2*22.9,3/29/2025 22:10
30.3*2*22.8,3/29/2025 22:40
30.1*2*22.8,3/29/2025 22:51
30.0*2*22.8,3/29/2025 22:56
30.1*2*22.8,3/29/2025 22:59
29.9*2*22.7,3/29/2025 23:05
29.8*2*22.6,3/29/2025 23:09
29.8*2*22.6,3/30/2025 0:00
29.3*2*22.5,3/30/2025 0:32
29.3*2*22.6,3/30/2025 0:42
29.3*2*22.6,3/30/2025 0:48
29.4*2*22.6,3/30/2025 0:56
29.3*2*22.5,3/30/2025 1:03
29.3*2*22.4,3/30/2025 1:10
29.2*2*22.5,3/30/2025 1:19
29.2*2*22.4,3/30/2025 1:39
29.2*2*22.5,3/30/2025 1:49
29.0*2*22.5,3/30/2025 3:54
29.0*2*22.5,3/30/2025 4:09
29.0*2*22.5,3/30/2025 6:00
28.8*2*22.1,3/30/2025 7:32
31.0*2*27.3,3/30/2025 10:27
31.2*2*27.6,3/30/2025 10:41
31.3*2*29.1,3/30/2025 10:51
31.4*2*28.5,3/30/2025 10:57
31.5*2*28.5,3/30/2025 11:09
31.6*2*28.8,3/30/2025 11:15
31.7*2*29.2,3/30/2025 11:25
32.0*2*29.5,3/30/2025 11:44
32.2*2*28.4,3/30/2025 11:57
32.2*2*27.1,3/30/2025 12:09
32.1*2*26.8,3/30/2025 12:17
32.1*2*26.3,3/30/2025 12:28
31.9*2*25.2,3/30/2025 12:44
31.7*2*24.6,3/30/2025 12:53
30.7*2*23.3,3/30/2025 13:42
30.5*2*23.3,3/30/2025 13:49
30.4*2*23.3,3/30/2025 13:55
30.2*2*23.2,3/30/2025 14:05
30.2*2*23.4,3/30/2025 14:15
29.9*2*23.3,3/30/2025 14:19
30.0*2*23.4,3/30/2025 14:28
29.9*2*23.4,3/30/2025 18:00
31.8*2*25.4,3/30/2025 19:32
